ອ	LAO LETTER O (U+0EAD)	e0baad
ဴ	MYANMAR VOWEL SIGN MON O (U+1034)	e180b4
ဵ	MYANMAR VOWEL SIGN E ABOVE (U+1035)	e180b5
ံ	MYANMAR SIGN ANUSVARA (U+1036)	e180b6
့	MYANMAR SIGN DOT BELOW (U+1037)	e180b7
း	MYANMAR SIGN VISARGA (U+1038)	e180b8
္	MYANMAR SIGN VIRAMA (U+1039)	e180b9
်	MYANMAR SIGN ASAT (U+103A)	e180ba
ျ	MYANMAR CONSONANT SIGN MEDIAL YA (U+103B)	e180bb
ြ	MYANMAR CONSONANT SIGN MEDIAL RA (U+103C)	e180bc
ွ	MYANMAR CONSONANT SIGN MEDIAL WA (U+103D)	e180bd
ှ	MYANMAR CONSONANT SIGN MEDIAL HA (U+103E)	e180be
ဿ	MYANMAR LETTER GREAT SA (U+103F)	e180bf
၀	MYANMAR DIGIT ZERO (U+1040)	e18180
၁	MYANMAR DIGIT ONE (U+1041)	e18181
၂	MYANMAR DIGIT TWO (U+1042)	e18182
၃	MYANMAR DIGIT THREE (U+1043)	e18183
၄	MYANMAR DIGIT FOUR (U+1044)	e18184
၅	MYANMAR DIGIT FIVE (U+1045)	e18185
၆	MYANMAR DIGIT SIX (U+1046)	e18186
၇	MYANMAR DIGIT SEVEN (U+1047)	e18187
၈	MYANMAR DIGIT EIGHT (U+1048)	e18188
၉	MYANMAR DIGIT NINE (U+1049)	e18189
၊	MYANMAR SIGN LITTLE SECTION (U+104A)	e1818a
။	MYANMAR SIGN SECTION (U+104B)	e1818b
၌	MYANMAR SYMBOL LOCATIVE (U+104C)	e1818c
၍	MYANMAR SYMBOL COMPLETED (U+104D)	e1818d
၎	MYANMAR SYMBOL AFOREMENTIONED (U+104E)	e1818e
၏	MYANMAR SYMBOL GENITIVE (U+104F)	e1818f
ၐ	MYANMAR LETTER SHA (U+1050)	e18190
ၑ	MYANMAR LETTER SSA (U+1051)	e18191
ၒ	MYANMAR LETTER VOCALIC R (U+1052)	e18192
ၓ	MYANMAR LETTER VOCALIC RR (U+1053)	e18193
ၔ	MYANMAR LETTER VOCALIC L (U+1054)	e18194
ၕ	MYANMAR LETTER VOCALIC LL (U+1055)	e18195
ၖ	MYANMAR VOWEL SIGN VOCALIC R (U+1056)	e18196
ၗ	MYANMAR VOWEL SIGN VOCALIC RR (U+1057)	e18197
ၘ	MYANMAR VOWEL SIGN VOCALIC L (U+1058)	e18198
ၙ	MYANMAR VOWEL SIGN VOCALIC LL (U+1059)	e18199
ၚ	MYANMAR LETTER MON NGA (U+105A)	e1819a
ၛ	MYANMAR LETTER MON JHA (U+105B)	e1819b
ၜ	MYANMAR LETTER MON BBA (U+105C)	e1819c
ၝ	MYANMAR LETTER MON BBE (U+105D)	e1819d
ၞ	MYANMAR CONSONANT SIGN MON MEDIAL NA (U+105E)	e1819e
ၟ	MYANMAR CONSONANT SIGN MON MEDIAL MA (U+105F)	e1819f
ၠ	MYANMAR CONSONANT SIGN MON MEDIAL LA (U+1060)	e181a0
ၡ	MYANMAR LETTER SGAW KAREN SHA (U+1061)	e181a1
ၢ	MYANMAR VOWEL SIGN SGAW KAREN EU (U+1062)	e181a2
ၣ	MYANMAR TONE MARK SGAW KAREN HATHI (U+1063)	e181a3
ၤ	MYANMAR TONE MARK SGAW KAREN KE PHO (U+1064)	e181a4
ၥ	MYANMAR LETTER WESTERN PWO KAREN THA (U+1065)	e181a5
ၦ	MYANMAR LETTER WESTERN PWO KAREN PWA (U+1066)	e181a6
ၧ	MYANMAR VOWEL SIGN WESTERN PWO KAREN EU (U+1067)	e181a7
ၨ	MYANMAR VOWEL SIGN WESTERN PWO KAREN UE (U+1068)	e181a8
ၩ	MYANMAR SIGN WESTERN PWO KAREN TONE-1 (U+1069)	e181a9
ၪ	MYANMAR SIGN WESTERN PWO KAREN TONE-2 (U+106A)	e181aa
ၫ	MYANMAR SIGN WESTERN PWO KAREN TONE-3 (U+106B)	e181ab
ၬ	MYANMAR SIGN WESTERN PWO KAREN TONE-4 (U+106C)	e181ac
ၭ	MYANMAR SIGN WESTERN PWO KAREN TONE-5 (U+106D)	e181ad
ၮ	MYANMAR LETTER EASTERN PWO KAREN NNA (U+106E)	e181ae
ၯ	MYANMAR LETTER EASTERN PWO KAREN YWA (U+106F)	e181af
ၰ	MYANMAR LETTER EASTERN PWO KAREN GHWA (U+1070)	e181b0
ၱ	MYANMAR VOWEL SIGN GEBA KAREN I (U+1071)	e181b1
ၲ	MYANMAR VOWEL SIGN KAYAH OE (U+1072)	e181b2
ၳ	MYANMAR VOWEL SIGN KAYAH U (U+1073)	e181b3
ၴ	MYANMAR VOWEL SIGN KAYAH EE (U+1074)	e181b4
ၵ	MYANMAR LETTER SHAN KA (U+1075)	e181b5
ၶ	MYANMAR LETTER SHAN KHA (U+1076)	e181b6
ၷ	MYANMAR LETTER SHAN GA (U+1077)	e181b7
ၸ	MYANMAR LETTER SHAN CA (U+1078)	e181b8
ၹ	MYANMAR LETTER SHAN ZA (U+1079)	e181b9
ၺ	MYANMAR LETTER SHAN NYA (U+107A)	e181ba
ၻ	MYANMAR LETTER SHAN DA (U+107B)	e181bb
ၼ	MYANMAR LETTER SHAN NA (U+107C)	e181bc
ၽ	MYANMAR LETTER SHAN PHA (U+107D)	e181bd
ၾ	MYANMAR LETTER SHAN FA (U+107E)	e181be
ၿ	MYANMAR LETTER SHAN BA (U+107F)	e181bf
ႀ	MYANMAR LETTER SHAN THA (U+1080)	e18280
ႁ	MYANMAR LETTER SHAN HA (U+1081)	e18281
ႂ	MYANMAR CONSONANT SIGN SHAN MEDIAL WA (U+1082)	e18282
ႃ	MYANMAR VOWEL SIGN SHAN AA (U+1083)	e18283
ႄ	MYANMAR VOWEL SIGN SHAN E (U+1084)	e18284
ႅ	MYANMAR VOWEL SIGN SHAN E ABOVE (U+1085)	e18285
ႆ	MYANMAR VOWEL SIGN SHAN FINAL Y (U+1086)	e18286
ႇ	MYANMAR SIGN SHAN TONE-2 (U+1087)	e18287
ႈ	MYANMAR SIGN SHAN TONE-3 (U+1088)	e18288
