𡅨	U+21168 (U+21168)	f0a185a8
𡅩	U+21169 (U+21169)	f0a185a9
𡅪	U+2116A (U+2116A)	f0a185aa
𡅫	U+2116B (U+2116B)	f0a185ab
𡅬	U+2116C (U+2116C)	f0a185ac
𡅭	U+2116D (U+2116D)	f0a185ad
𡅮	U+2116E (U+2116E)	f0a185ae
𡅯	U+2116F (U+2116F)	f0a185af
𡅰	U+21170 (U+21170)	f0a185b0
𡅱	U+21171 (U+21171)	f0a185b1
𡅲	U+21172 (U+21172)	f0a185b2
𡅳	U+21173 (U+21173)	f0a185b3
𡅴	U+21174 (U+21174)	f0a185b4
𡅵	U+21175 (U+21175)	f0a185b5
𡅶	U+21176 (U+21176)	f0a185b6
𡅷	U+21177 (U+21177)	f0a185b7
𡅸	U+21178 (U+21178)	f0a185b8
𡅹	U+21179 (U+21179)	f0a185b9
𡅺	U+2117A (U+2117A)	f0a185ba
𡅻	U+2117B (U+2117B)	f0a185bb
𡅼	U+2117C (U+2117C)	f0a185bc
𡅽	U+2117D (U+2117D)	f0a185bd
𡅾	U+2117E (U+2117E)	f0a185be
𡅿	U+2117F (U+2117F)	f0a185bf
𡆀	(Cant.) special relationship (U+21180)	f0a18680
𡆁	U+21181 (U+21181)	f0a18681
𡆂	U+21182 (U+21182)	f0a18682
𡆃	U+21183 (U+21183)	f0a18683
𡆄	U+21184 (U+21184)	f0a18684
𡆅	U+21185 (U+21185)	f0a18685
𡆆	U+21186 (U+21186)	f0a18686
