🀦	MAHJONG TILE SPRING (U+1F026)	f09f80a6
🆎	NEGATIVE SQUARED AB (U+1F18E)	f09f868e
🆏	NEGATIVE SQUARED WC (U+1F18F)	f09f868f
🆐	SQUARE DJ (U+1F190)	f09f8690
🆑	SQUARED CL (U+1F191)	f09f8691
🆒	SQUARED COOL (U+1F192)	f09f8692
🆓	SQUARED FREE (U+1F193)	f09f8693
🆔	SQUARED ID (U+1F194)	f09f8694
🆕	SQUARED NEW (U+1F195)	f09f8695
🆖	SQUARED NG (U+1F196)	f09f8696
🆗	SQUARED OK (U+1F197)	f09f8697
🆘	SQUARED SOS (U+1F198)	f09f8698
🆙	SQUARED UP WITH EXCLAMATION MARK (U+1F199)	f09f8699
🆚	SQUARED VS (U+1F19A)	f09f869a
🇦	REGIONAL INDICATOR SYMBOL LETTER A (U+1F1E6)	f09f87a6
🇧	REGIONAL INDICATOR SYMBOL LETTER B (U+1F1E7)	f09f87a7
🇨	REGIONAL INDICATOR SYMBOL LETTER C (U+1F1E8)	f09f87a8
🇩	REGIONAL INDICATOR SYMBOL LETTER D (U+1F1E9)	f09f87a9
🇪	REGIONAL INDICATOR SYMBOL LETTER E (U+1F1EA)	f09f87aa
🇫	REGIONAL INDICATOR SYMBOL LETTER F (U+1F1EB)	f09f87ab
🇬	REGIONAL INDICATOR SYMBOL LETTER G (U+1F1EC)	f09f87ac
🇭	REGIONAL INDICATOR SYMBOL LETTER H (U+1F1ED)	f09f87ad
🇮	REGIONAL INDICATOR SYMBOL LETTER I (U+1F1EE)	f09f87ae
🇯	REGIONAL INDICATOR SYMBOL LETTER J (U+1F1EF)	f09f87af
🇰	REGIONAL INDICATOR SYMBOL LETTER K (U+1F1F0)	f09f87b0
🇱	REGIONAL INDICATOR SYMBOL LETTER L (U+1F1F1)	f09f87b1
🇲	REGIONAL INDICATOR SYMBOL LETTER M (U+1F1F2)	f09f87b2
🇳	REGIONAL INDICATOR SYMBOL LETTER N (U+1F1F3)	f09f87b3
🇴	REGIONAL INDICATOR SYMBOL LETTER O (U+1F1F4)	f09f87b4
🇵	REGIONAL INDICATOR SYMBOL LETTER P (U+1F1F5)	f09f87b5
🇶	REGIONAL INDICATOR SYMBOL LETTER Q (U+1F1F6)	f09f87b6
🇷	REGIONAL INDICATOR SYMBOL LETTER R (U+1F1F7)	f09f87b7
🇸	REGIONAL INDICATOR SYMBOL LETTER S (U+1F1F8)	f09f87b8
🇹	REGIONAL INDICATOR SYMBOL LETTER T (U+1F1F9)	f09f87b9
🇺	REGIONAL INDICATOR SYMBOL LETTER U (U+1F1FA)	f09f87ba
🇻	REGIONAL INDICATOR SYMBOL LETTER V (U+1F1FB)	f09f87bb
🇼	REGIONAL INDICATOR SYMBOL LETTER W (U+1F1FC)	f09f87bc
🇽	REGIONAL INDICATOR SYMBOL LETTER X (U+1F1FD)	f09f87bd
🇾	REGIONAL INDICATOR SYMBOL LETTER Y (U+1F1FE)	f09f87be
🇿	REGIONAL INDICATOR SYMBOL LETTER Z (U+1F1FF)	f09f87bf
🈀	SQUARE HIRAGANA HOKA (U+1F200)	f09f8880
🈁	SQUARED KATAKANA KOKO (U+1F201)	f09f8881
🈂	SQUARED KATAKANA SA (U+1F202)	f09f8882
🈐	SQUARED CJK UNIFIED IDEOGRAPH-624B (U+1F210)	f09f8890
🈑	SQUARED CJK UNIFIED IDEOGRAPH-5B57 (U+1F211)	f09f8891
🈒	SQUARED CJK UNIFIED IDEOGRAPH-53CC (U+1F212)	f09f8892
🈓	SQUARED KATAKANA DE (U+1F213)	f09f8893
🈔	SQUARED CJK UNIFIED IDEOGRAPH-4E8C (U+1F214)	f09f8894
🈕	SQUARED CJK UNIFIED IDEOGRAPH-591A (U+1F215)	f09f8895
🈖	SQUARED CJK UNIFIED IDEOGRAPH-89E3 (U+1F216)	f09f8896
🈗	SQUARED CJK UNIFIED IDEOGRAPH-5929 (U+1F217)	f09f8897
🈘	SQUARED CJK UNIFIED IDEOGRAPH-4EA4 (U+1F218)	f09f8898
🈙	SQUARED CJK UNIFIED IDEOGRAPH-6620 (U+1F219)	f09f8899
