髕	kneecap (U+9AD5)	e9ab95
鲌	U+9C8C (U+9C8C)	e9b28c
鲍	abalone; dried fish; surname (U+9C8D)	e9b28d
鲎	king crab (U+9C8E)	e9b28e
鲏	U+9C8F (U+9C8F)	e9b28f
鲐	globefish, tetraodon (U+9C90)	e9b290
鲑	salmon; spheroides vermicularis (U+9C91)	e9b291
鲒	clam; oyster (U+9C92)	e9b292
鲓	U+9C93 (U+9C93)	e9b293
鲔	kind of sturgeon, tuna (U+9C94)	e9b294
鲕	roe (U+9C95)	e9b295
鲖	snakefish (U+9C96)	e9b296
鲗	cuttlefish (U+9C97)	e9b297
鲘	U+9C98 (U+9C98)	e9b298
鲙	minced fish; hash (U+9C99)	e9b299
鲚	anchovy (U+9C9A)	e9b29a
鲛	shark (U+9C9B)	e9b29b
鲜	fresh; delicious; attractive (U+9C9C)	e9b29c
鲝	U+9C9D (U+9C9D)	e9b29d
鲞	dried fish (U+9C9E)	e9b29e
鲟	sturgeon (U+9C9F)	e9b29f
鲠	fish bones; honest, upright (U+9CA0)	e9b2a0
鲡	eel (U+9CA1)	e9b2a1
鲢	silver carp, hypophthalmiathys (U+9CA2)	e9b2a2
鲣	skipjack, bonito (U+9CA3)	e9b2a3
鲤	carp (U+9CA4)	e9b2a4
鲥	reeves' shad; hilsa herring (U+9CA5)	e9b2a5
鲦	minnow (U+9CA6)	e9b2a6
鲧	giant fish; father of emperor (U+9CA7)	e9b2a7
鲨	shark (U+9CA8)	e9b2a8
鲩	carp (U+9CA9)	e9b2a9
鲪	U+9CAA (U+9CAA)	e9b2aa
鲫	Carassius auratus, crucian carp (U+9CAB)	e9b2ab
鲬	a flathead (fish) (U+9CAC)	e9b2ac
鲭	mackerel (U+9CAD)	e9b2ad
鲮	carp (U+9CAE)	e9b2ae
鲯	coryphaena hippurus (U+9CAF)	e9b2af
鲰	small fish; small; minnow (U+9CB0)	e9b2b0
鲱	herring (U+9CB1)	e9b2b1
鲲	spawn; roe; fy (U+9CB2)	e9b2b2
鲳	the silvery pomfret, Stromateoides argenteus (U+9CB3)	e9b2b3
鲴	fish guts (U+9CB4)	e9b2b4
鲵	Cryptobranchus japonicus; a salamander (U+9CB5)	e9b2b5
鲶	sheat (U+9CB6)	e9b2b6
鲷	pagrosomus major, porgy (U+9CB7)	e9b2b7
鲸	whale (U+9CB8)	e9b2b8
鲹	a horse mackerel (U+9CB9)	e9b2b9
鲺	cat fish (U+9CBA)	e9b2ba
鲻	mullet (U+9CBB)	e9b2bb
鲼	fish (U+9CBC)	e9b2bc
鲽	flatfish; flounder; sole (U+9CBD)	e9b2bd
鲾	U+9CBE (U+9CBE)	e9b2be
鲿	codfish (U+9CBF)	e9b2bf
鳀	anchovy (U+9CC0)	e9b380
鳁	sardine (U+9CC1)	e9b381
鳂	name of fish (U+9CC2)	e9b382
鳃	fish gills (U+9CC3)	e9b383
鳄	alligator (U+9CC4)	e9b384
鳅	loach (U+9CC5)	e9b385
鳆	abalone (U+9CC6)	e9b386
鳇	sturgeon (U+9CC7)	e9b387
鳈	name of fish (U+9CC8)	e9b388
鳉	name of fish (U+9CC9)	e9b389
鳊	bream (U+9CCA)	e9b38a
鳋	carp (U+9CCB)	e9b38b
鳌	huge sea turtle (U+9CCC)	e9b38c
鳍	fin (U+9CCD)	e9b38d
鳎	sole (U+9CCE)	e9b38e
鳏	huge fish; widower; bachelor (U+9CCF)	e9b38f
鳐	the nautilus; the ray (U+9CD0)	e9b390
鳑	U+9CD1 (U+9CD1)	e9b391
鳒	big-mouthed flounder (U+9CD2)	e9b392
鳓	Chinese herring; shad (U+9CD3)	e9b393
鳔	swimming bladder of fish (U+9CD4)	e9b394
鳕	codfish (U+9CD5)	e9b395
鳖	turtle (U+9CD6)	e9b396
鳗	eel (U+9CD7)	e9b397
鳘	codfish (U+9CD8)	e9b398
鳙	bighead (U+9CD9)	e9b399
鳚	general term of a kind of fish, a snake-like fish (U+9CDA)	e9b39a
鳛	the weather or dojo loach, Misgurnus anguillicaudatus (U+9CDB)	e9b39b
鳜	mandarin fish (U+9CDC)	e9b39c
鳝	eel (U+9CDD)	e9b39d
鳞	fish scales (U+9CDE)	e9b39e
鳟	barbel (U+9CDF)	e9b39f
鳠	U+9CE0 (U+9CE0)	e9b3a0
鳡	U+9CE1 (U+9CE1)	e9b3a1
鳢	snakehead (U+9CE2)	e9b3a2
鳣	sturgeon (U+9CE3)	e9b3a3
鳤	U+9CE4 (U+9CE4)	e9b3a4
鳥	bird; KangXi radical 196 (U+9CE5)	e9b3a5
鳦	swallow (U+9CE6)	e9b3a6
鳧	wild duck, teal; swim (U+9CE7)	e9b3a7
鳨	U+9CE8 (U+9CE8)	e9b3a8
鳩	pigeon, dove; collect, assemble (U+9CE9)	e9b3a9
鳪	U+9CEA (U+9CEA)	e9b3aa
鳫	wild goose (U+9CEB)	e9b3ab
鳬	wild duck, teal; swim (U+9CEC)	e9b3ac
鳭	U+9CED (U+9CED)	e9b3ad
鳮	chickens; domestic fowl (U+9CEE)	e9b3ae
