𨄒	U+28112 (U+28112)	f0a88492
𨄓	U+28113 (U+28113)	f0a88493
𨄔	U+28114 (U+28114)	f0a88494
𨄕	U+28115 (U+28115)	f0a88495
𨄖	U+28116 (U+28116)	f0a88496
𨄗	U+28117 (U+28117)	f0a88497
𨄘	U+28118 (U+28118)	f0a88498
𨄙	U+28119 (U+28119)	f0a88499
𨄚	U+2811A (U+2811A)	f0a8849a
𨄛	U+2811B (U+2811B)	f0a8849b
𨄜	U+2811C (U+2811C)	f0a8849c
𨄝	U+2811D (U+2811D)	f0a8849d
𨄞	U+2811E (U+2811E)	f0a8849e
𨄟	U+2811F (U+2811F)	f0a8849f
𨄠	U+28120 (U+28120)	f0a884a0
𨄡	U+28121 (U+28121)	f0a884a1
𨄢	U+28122 (U+28122)	f0a884a2
𨄣	U+28123 (U+28123)	f0a884a3
𨄤	U+28124 (U+28124)	f0a884a4
𨄥	U+28125 (U+28125)	f0a884a5
𨄦	U+28126 (U+28126)	f0a884a6
𨄧	U+28127 (U+28127)	f0a884a7
𨄨	U+28128 (U+28128)	f0a884a8
𨄩	U+28129 (U+28129)	f0a884a9
𨄪	U+2812A (U+2812A)	f0a884aa
𨄫	U+2812B (U+2812B)	f0a884ab
𨄬	U+2812C (U+2812C)	f0a884ac
𨄭	U+2812D (U+2812D)	f0a884ad
𨄮	U+2812E (U+2812E)	f0a884ae
𨄯	U+2812F (U+2812F)	f0a884af
𨄰	U+28130 (U+28130)	f0a884b0
𨄱	U+28131 (U+28131)	f0a884b1
𨄲	U+28132 (U+28132)	f0a884b2
𨄳	U+28133 (U+28133)	f0a884b3
𨄴	U+28134 (U+28134)	f0a884b4
𨄵	U+28135 (U+28135)	f0a884b5
𨄶	U+28136 (U+28136)	f0a884b6
𨄷	U+28137 (U+28137)	f0a884b7
𨄸	U+28138 (U+28138)	f0a884b8
𨄹	U+28139 (U+28139)	f0a884b9
𨄺	U+2813A (U+2813A)	f0a884ba
𨄻	U+2813B (U+2813B)	f0a884bb
𨄼	U+2813C (U+2813C)	f0a884bc
𨄽	U+2813D (U+2813D)	f0a884bd
𨄾	U+2813E (U+2813E)	f0a884be
𨄿	U+2813F (U+2813F)	f0a884bf
𨅀	U+28140 (U+28140)	f0a88580
𨅁	U+28141 (U+28141)	f0a88581
𨅂	U+28142 (U+28142)	f0a88582
𨅃	U+28143 (U+28143)	f0a88583
𨅄	U+28144 (U+28144)	f0a88584
𨅅	U+28145 (U+28145)	f0a88585
