尶	embarrassed; ill at ease (U+5C36)	e5b0b6
尷	embarrassed; ill at ease (U+5C37)	e5b0b7
尸	corpse; to impersonate the dead; to preside; KangXi radical 44 (U+5C38)	e5b0b8
尹	govern; oversee; director (U+5C39)	e5b0b9
尺	Chinese measure approx. 'foot' (U+5C3A)	e5b0ba
尻	end of spine; buttocks, sacrum (U+5C3B)	e5b0bb
尼	Buddhist nun; transliteration (U+5C3C)	e5b0bc
尽	exhaust, use up; deplete (U+5C3D)	e5b0bd
尾	tail, extremity; end, stern (U+5C3E)	e5b0be
尿	urine; urinate (U+5C3F)	e5b0bf
局	bureau, office; circumstance (U+5C40)	e5b180
屁	break wind; fart; buttocks (U+5C41)	e5b181
层	storey, layer, floor, stratum (U+5C42)	e5b182
屃	gigantic strength; hercules (U+5C43)	e5b183
屄	the vagina (U+5C44)	e5b184
居	live, dwell, reside, sit (U+5C45)	e5b185
屆	numerary adjunct for time, term (U+5C46)	e5b186
屇	cave; hole (U+5C47)	e5b187
屈	bend, flex; bent, crooked; crouch (U+5C48)	e5b188
屉	drawer; tray; pad; screen (U+5C49)	e5b189
届	numerary adjunct for time, term (U+5C4A)	e5b18a
屋	house; room; building, shelter (U+5C4B)	e5b18b
屌	(Cant.) obscene exclamation (U+5C4C)	e5b18c
屍	corpse, carcass (U+5C4D)	e5b18d
屎	excrement, shit, dung (U+5C4E)	e5b18e
屏	folding screen, shield (U+5C4F)	e5b18f
屐	wooden shoes, clogs (U+5C50)	e5b190
屑	bits, scraps, crumbs, fragments (U+5C51)	e5b191
屒	U+5C52 (U+5C52)	e5b192
屓	gigantic strength; hercules (U+5C53)	e5b193
屔	U+5C54 (U+5C54)	e5b194
展	open, unfold; stretch, extend (U+5C55)	e5b195
屖	U+5C56 (U+5C56)	e5b196
屗	U+5C57 (U+5C57)	e5b197
屘	the youngest (U+5C58)	e5b198
屙	to ease nature (U+5C59)	e5b199
屚	U+5C5A (U+5C5A)	e5b19a
屛	folding screen (U+5C5B)	e5b19b
屜	drawer; tray; pad; screen (U+5C5C)	e5b19c
屝	straw shoes; straw door (U+5C5D)	e5b19d
属	class, category, type; belong to (U+5C5E)	e5b19e
屟	U+5C5F (U+5C5F)	e5b19f
屠	butcher, slaughter, massacre (U+5C60)	e5b1a0
屡	frequently, often, again and again (U+5C61)	e5b1a1
屢	frequently, often, again and again (U+5C62)	e5b1a2
屣	straw sandals or slippers that have no heel-backs (U+5C63)	e5b1a3
層	storey, layer, floor, stratum (U+5C64)	e5b1a4
履	footwear, shoes; walk on, tread (U+5C65)	e5b1a5
屦	straw sandals; tread on (U+5C66)	e5b1a6
屧	wooden shoes, clogs (U+5C67)	e5b1a7
屨	straw sandals; tread on (U+5C68)	e5b1a8
屩	straw sandals (U+5C69)	e5b1a9
屪	penis (U+5C6A)	e5b1aa
屫	U+5C6B (U+5C6B)	e5b1ab
屬	class, category, type; to belong to (U+5C6C)	e5b1ac
屭	gigantic strength (U+5C6D)	e5b1ad
屮	sprout; KangXi radical 45 (U+5C6E)	e5b1ae
屯	village, hamlet; camp; station (U+5C6F)	e5b1af
屰	disobedient (U+5C70)	e5b1b0
山	mountain, hill, peak (U+5C71)	e5b1b1
屲	U+5C72 (U+5C72)	e5b1b2
屳	U+5C73 (U+5C73)	e5b1b3
屴	lofty (U+5C74)	e5b1b4
