𫅨	U+2B168 (U+2B168)	f0ab85a8
𫅩	U+2B169 (U+2B169)	f0ab85a9
𫅪	U+2B16A (U+2B16A)	f0ab85aa
𫅫	U+2B16B (U+2B16B)	f0ab85ab
𫅬	U+2B16C (U+2B16C)	f0ab85ac
𫅭	U+2B16D (U+2B16D)	f0ab85ad
𫅮	U+2B16E (U+2B16E)	f0ab85ae
𫅯	U+2B16F (U+2B16F)	f0ab85af
𫅰	U+2B170 (U+2B170)	f0ab85b0
𫅱	U+2B171 (U+2B171)	f0ab85b1
𫅲	U+2B172 (U+2B172)	f0ab85b2
𫅳	U+2B173 (U+2B173)	f0ab85b3
𫅴	U+2B174 (U+2B174)	f0ab85b4
𫅵	U+2B175 (U+2B175)	f0ab85b5
𫅶	U+2B176 (U+2B176)	f0ab85b6
𫅷	U+2B177 (U+2B177)	f0ab85b7
𫅸	U+2B178 (U+2B178)	f0ab85b8
𫅹	U+2B179 (U+2B179)	f0ab85b9
𫅺	U+2B17A (U+2B17A)	f0ab85ba
𫅻	U+2B17B (U+2B17B)	f0ab85bb
𫅼	U+2B17C (U+2B17C)	f0ab85bc
𫅽	U+2B17D (U+2B17D)	f0ab85bd
𫅾	U+2B17E (U+2B17E)	f0ab85be
𫅿	U+2B17F (U+2B17F)	f0ab85bf
𫆀	U+2B180 (U+2B180)	f0ab8680
𫆁	U+2B181 (U+2B181)	f0ab8681
𫆂	U+2B182 (U+2B182)	f0ab8682
𫆃	U+2B183 (U+2B183)	f0ab8683
𫆄	U+2B184 (U+2B184)	f0ab8684
𫆅	U+2B185 (U+2B185)	f0ab8685
𫆆	U+2B186 (U+2B186)	f0ab8686
𫆇	U+2B187 (U+2B187)	f0ab8687
