𪴛	U+2AD1B (U+2AD1B)	f0aab49b
𪴜	U+2AD1C (U+2AD1C)	f0aab49c
𪴝	U+2AD1D (U+2AD1D)	f0aab49d
𪴞	U+2AD1E (U+2AD1E)	f0aab49e
𪴟	U+2AD1F (U+2AD1F)	f0aab49f
𪴠	U+2AD20 (U+2AD20)	f0aab4a0
𪴡	U+2AD21 (U+2AD21)	f0aab4a1
𪴢	U+2AD22 (U+2AD22)	f0aab4a2
𪴣	U+2AD23 (U+2AD23)	f0aab4a3
𪴤	U+2AD24 (U+2AD24)	f0aab4a4
𪴥	U+2AD25 (U+2AD25)	f0aab4a5
𪴦	U+2AD26 (U+2AD26)	f0aab4a6
𪴧	U+2AD27 (U+2AD27)	f0aab4a7
𪴨	U+2AD28 (U+2AD28)	f0aab4a8
𪴩	U+2AD29 (U+2AD29)	f0aab4a9
𪴪	U+2AD2A (U+2AD2A)	f0aab4aa
𪴫	U+2AD2B (U+2AD2B)	f0aab4ab
𪴬	U+2AD2C (U+2AD2C)	f0aab4ac
𪴭	U+2AD2D (U+2AD2D)	f0aab4ad
𪴮	U+2AD2E (U+2AD2E)	f0aab4ae
𪴯	U+2AD2F (U+2AD2F)	f0aab4af
𪴰	U+2AD30 (U+2AD30)	f0aab4b0
𪴱	U+2AD31 (U+2AD31)	f0aab4b1
𪴲	U+2AD32 (U+2AD32)	f0aab4b2
𪴳	U+2AD33 (U+2AD33)	f0aab4b3
𪴴	U+2AD34 (U+2AD34)	f0aab4b4
𪴵	U+2AD35 (U+2AD35)	f0aab4b5
𪴶	U+2AD36 (U+2AD36)	f0aab4b6
𪴷	U+2AD37 (U+2AD37)	f0aab4b7
𪴸	U+2AD38 (U+2AD38)	f0aab4b8
𪴹	U+2AD39 (U+2AD39)	f0aab4b9
𪴺	U+2AD3A (U+2AD3A)	f0aab4ba
𪴻	U+2AD3B (U+2AD3B)	f0aab4bb
𪴼	U+2AD3C (U+2AD3C)	f0aab4bc
𪴽	U+2AD3D (U+2AD3D)	f0aab4bd
𪴾	U+2AD3E (U+2AD3E)	f0aab4be
𪴿	U+2AD3F (U+2AD3F)	f0aab4bf
𪵀	U+2AD40 (U+2AD40)	f0aab580
𪵁	U+2AD41 (U+2AD41)	f0aab581
𪵂	U+2AD42 (U+2AD42)	f0aab582
𪵃	U+2AD43 (U+2AD43)	f0aab583
𪵄	U+2AD44 (U+2AD44)	f0aab584
𪵅	U+2AD45 (U+2AD45)	f0aab585
𪵆	U+2AD46 (U+2AD46)	f0aab586
𪵇	U+2AD47 (U+2AD47)	f0aab587
𪵈	U+2AD48 (U+2AD48)	f0aab588
𪵉	U+2AD49 (U+2AD49)	f0aab589
𪵊	U+2AD4A (U+2AD4A)	f0aab58a
𪵋	U+2AD4B (U+2AD4B)	f0aab58b
𪵌	U+2AD4C (U+2AD4C)	f0aab58c
𪵍	U+2AD4D (U+2AD4D)	f0aab58d
𪵎	U+2AD4E (U+2AD4E)	f0aab58e
𪵏	U+2AD4F (U+2AD4F)	f0aab58f
𪵐	U+2AD50 (U+2AD50)	f0aab590
𪵑	U+2AD51 (U+2AD51)	f0aab591
𪵒	U+2AD52 (U+2AD52)	f0aab592
𪵓	U+2AD53 (U+2AD53)	f0aab593
𪵔	U+2AD54 (U+2AD54)	f0aab594
𪵕	U+2AD55 (U+2AD55)	f0aab595
𪵖	U+2AD56 (U+2AD56)	f0aab596
𪵗	U+2AD57 (U+2AD57)	f0aab597
𪵘	U+2AD58 (U+2AD58)	f0aab598
