⊵	CONTAINS AS NORMAL SUBGROUP OR EQUAL TO (U+22B5)	e28ab5
⊶	ORIGINAL OF (U+22B6)	e28ab6
⊷	IMAGE OF (U+22B7)	e28ab7
⊸	MULTIMAP (U+22B8)	e28ab8
⊹	HERMITIAN CONJUGATE MATRIX (U+22B9)	e28ab9
⊺	INTERCALATE (U+22BA)	e28aba
⊻	XOR (U+22BB)	e28abb
⊼	NAND (U+22BC)	e28abc
⊽	NOR (U+22BD)	e28abd
⊾	RIGHT ANGLE WITH ARC (U+22BE)	e28abe
⊿	RIGHT TRIANGLE (U+22BF)	e28abf
⋀	N-ARY LOGICAL AND (U+22C0)	e28b80
⋁	N-ARY LOGICAL OR (U+22C1)	e28b81
⋂	N-ARY INTERSECTION (U+22C2)	e28b82
⋃	N-ARY UNION (U+22C3)	e28b83
⋄	DIAMOND OPERATOR (U+22C4)	e28b84
⋅	DOT OPERATOR (U+22C5)	e28b85
⋆	STAR OPERATOR (U+22C6)	e28b86
⋇	DIVISION TIMES (U+22C7)	e28b87
⋈	BOWTIE (U+22C8)	e28b88
⋉	LEFT NORMAL FACTOR SEMIDIRECT PRODUCT (U+22C9)	e28b89
