锠	vessel (U+9520)	e994a0
锡	tin, stannum; bestow, confer (U+9521)	e994a1
锢	run metal into cracks; confine (U+9522)	e994a2
锣	gong (U+9523)	e994a3
锤	balance weight on scale; hammer (U+9524)	e994a4
锥	gimlet, awl, drill, auger; bore (U+9525)	e994a5
锦	brocade, tapestry; embroidered (U+9526)	e994a6
锧	tungsten, wolfram (U+9527)	e994a7
锨	shovel (U+9528)	e994a8
锩	to bend iron (U+9529)	e994a9
锪	a kind of tool (U+952A)	e994aa
锫	berkelium (U+952B)	e994ab
锬	long spear (U+952C)	e994ac
锭	spindle, slab, cake, tablet (U+952D)	e994ad
键	door bolt, lock bolt; key (U+952E)	e994ae
锯	a saw; to saw; amputate (U+952F)	e994af
锰	manganese (U+9530)	e994b0
锱	8 oz; an ancient unit of weight (U+9531)	e994b1
锲	sickle; cut, carve, engrave (U+9532)	e994b2
锳	U+9533 (U+9533)	e994b3
锴	high quality iron (U+9534)	e994b4
锵	tinkle, clang, jingle (U+9535)	e994b5
锶	strontium (U+9536)	e994b6
